Crude,Year of Date,Month of Date,Monthly production dynamic title,Avg. Value
Eagle Ford,2019,October,United States Production,1291.771931
Bakken,2019,October,United States Production,1498
Alaska North Slope,2019,October,United States Production,482.100818
West Texas Sour,2019,November,United States Production,761.686812
West Texas Light,2019,November,United States Production,513.993272
West Texas Intermediate (Midland),2019,November,United States Production,2226.911594
West Texas Intermediate,2019,November,United States Production,1582.428538
Total,2019,November,United States Production,13000
Thunder Horse,2019,November,United States Production,133.920316
Southern Green Canyon,2019,November,United States Production,178.818351
Poseidon,2019,November,United States Production,215
Other Crudes - United States,2019,November,United States Production,3683.89146
Mars Blend,2019,November,United States Production,269.274148
Light Louisiana Sweet,2019,November,United States Production,49.386232
Hoops Blend,2019,November,United States Production,76
Heavy Louisiana Sweet,2019,November,United States Production,42
Eagle Ford,2019,November,United States Production,1289.723064
Bakken,2019,November,United States Production,1499
Alaska North Slope,2019,November,United States Production,477.966214
West Texas Sour,2019,December,United States Production,754.247233
West Texas Light,2019,December,United States Production,517.552358
West Texas Intermediate (Midland),2019,December,United States Production,2266.050563
West Texas Intermediate,2019,December,United States Production,1577.573147
Total,2019,December,United States Production,12980
Thunder Horse,2019,December,United States Production,132.919381
Southern Green Canyon,2019,December,United States Production,179.856491
Poseidon,2019,December,United States Production,215
Other Crudes - United States,2019,December,United States Production,3684.614844
Mars Blend,2019,December,United States Production,267.559287
Light Louisiana Sweet,2019,December,United States Production,49.082179
Hoops Blend,2019,December,United States Production,74
Heavy Louisiana Sweet,2019,December,United States Production,42
Eagle Ford,2019,December,United States Production,1287.677447
Bakken,2019,December,United States Production,1458
Alaska North Slope,2019,December,United States Production,473.86707
West Texas Sour,2018,January,United States Production,944.819601
West Texas Light,2018,January,United States Production,0
West Texas Intermediate (Midland),2018,January,United States Production,1139.440654
West Texas Intermediate,2018,January,United States Production,1637.866824
Total,2018,January,United States Production,10000
Thunder Horse,2018,January,United States Production,156.727937
Southern Green Canyon,2018,January,United States Production,158.323092
Poseidon,2018,January,United States Production,215
Other Crudes - United States,2018,January,United States Production,2331.293619
Mars Blend,2018,January,United States Production,207.508729
Light Louisiana Sweet,2018,January,United States Production,61.739706
Hoops Blend,2018,January,United States Production,76
Heavy Louisiana Sweet,2018,January,United States Production,38
Eagle Ford,2018,January,United States Production,1335.541235
Bakken,2018,January,United States Production,1163
Alaska North Slope,2018,January,United States Production,534.738604
West Texas Sour,2018,February,United States Production,935.680583
West Texas Light,2018,February,United States Production,0
West Texas Intermediate (Midland),2018,February,United States Production,1194.059221
West Texas Intermediate,2018,February,United States Production,1641.90127
Total,2018,February,United States Production,10262
Thunder Horse,2018,February,United States Production,155.565225
Southern Green Canyon,2018,February,United States Production,159.247613
Poseidon,2018,February,United States Production,215
Other Crudes - United States,2018,February,United States Production,2546.890325
Mars Blend,2018,February,United States Production,211.268266
Light Louisiana Sweet,2018,February,United States Production,61.387775
Hoops Blend,2018,February,United States Production,76
Heavy Louisiana Sweet,2018,February,United States Production,38
Eagle Ford,2018,February,United States Production,1333.4263
Bakken,2018,February,United States Production,1161
Alaska North Slope,2018,February,United States Production,532.57342
West Texas Sour,2018,March,United States Production,926.629965
West Texas Light,2018,March,United States Production,0
West Texas Intermediate (Midland),2018,March,United States Production,1251.295904
West Texas Intermediate,2018,March,United States Production,1645.945654
Total,2018,March,United States Production,10466
Thunder Horse,2018,March,United States Production,154.41114
Southern Green Canyon,2018,March,United States Production,160.177533
Poseidon,2018,March,United States Production,215
Other Crudes - United States,2018,March,United States Production,2713.674318
Mars Blend,2018,March,United States Production,215.095916
Light Louisiana Sweet,2018,March,United States Production,61.037851
Hoops Blend,2018,March,United States Production,75
Heavy Louisiana Sweet,2018,March,United States Production,39
Eagle Ford,2018,March,United States Production,1331.314714
Bakken,2018,March,United States Production,1147
Alaska North Slope,2018,March,United States Production,530.417003
West Texas Sour,2018,April,United States Production,917.666892
West Texas Light,2018,April,United States Production,0
West Texas Intermediate (Midland),2018,April,United States Production,1311.276202
West Texas Intermediate,2018,April,United States Production,1650
Total,2018,April,United States Production,10499
Thunder Horse,2018,April,United States Production,153.265616
Southern Green Canyon,2018,April,United States Production,161.112883
Poseidon,2018,April,United States Production,214
Other Crudes - United States,2018,April,United States Production,2632.519781
Mars Blend,2018,April,United States Production,218.992914
Light Louisiana Sweet,2018,April,United States Production,60.689921
Hoops Blend,2018,April,United States Production,75
Heavy Louisiana Sweet,2018,April,United States Production,38
Eagle Ford,2018,April,United States Production,1329.206473
Bakken,2018,April,United States Production,1209
Alaska North Slope,2018,April,United States Production,528.269318
West Texas Sour,2018,May,United States Production,908.790517
West Texas Light,2018,May,United States Production,0
West Texas Intermediate (Midland),2018,May,United States Production,1374.131628
West Texas Intermediate,2018,May,United States Production,1654.054346
Total,2018,May,United States Production,10434
Thunder Horse,2018,May,United States Production,152.12859
Southern Green Canyon,2018,May,United States Production,162.053694
Poseidon,2018,May,United States Production,214
Other Crudes - United States,2018,May,United States Production,2489.304836
Mars Blend,2018,May,United States Production,222.960516
Light Louisiana Sweet,2018,May,United States Production,60.343975
Hoops Blend,2018,May,United States Production,74
Heavy Louisiana Sweet,2018,May,United States Production,39
Eagle Ford,2018,May,United States Production,1327.10157
Bakken,2018,May,United States Production,1230
Alaska North Slope,2018,May,United States Production,526.130328
West Texas Sour,2018,June,United States Production,900
West Texas Light,2018,June,United States Production,0
West Texas Intermediate (Midland),2018,June,United States Production,1440
West Texas Intermediate,2018,June,United States Production,1658.118654
Total,2018,June,United States Production,10640
Thunder Horse,2018,June,United States Production,151
Southern Green Canyon,2018,June,United States Production,163
Poseidon,2018,June,United States Production,215
Other Crudes - United States,2018,June,United States Production,2646.881346
Mars Blend,2018,June,United States Production,227
Light Louisiana Sweet,2018,June,United States Production,60
Hoops Blend,2018,June,United States Production,74
Heavy Louisiana Sweet,2018,June,United States Production,40
Eagle Ford,2018,June,United States Production,1325
Bakken,2018,June,United States Production,1216
Alaska North Slope,2018,June,United States Production,524
West Texas Sour,2018,July,United States Production,900
West Texas Light,2018,July,United States Production,0
West Texas Intermediate (Midland),2018,July,United States Production,1445
West Texas Intermediate,2018,July,United States Production,1662.19295
Total,2018,July,United States Production,10896
Thunder Horse,2018,July,United States Production,151
Southern Green Canyon,2018,July,United States Production,163
Poseidon,2018,July,United States Production,215
Other Crudes - United States,2018,July,United States Production,2852.343439
Mars Blend,2018,July,United States Production,231.039484
Light Louisiana Sweet,2018,July,United States Production,59.656025
Hoops Blend,2018,July,United States Production,74
Heavy Louisiana Sweet,2018,July,United States Production,40
Eagle Ford,2018,July,United States Production,1322.89843
Bakken,2018,July,United States Production,1258
Alaska North Slope,2018,July,United States Production,521.869672
West Texas Sour,2018,August,United States Production,891.209483
West Texas Light,2018,August,United States Production,0
West Texas Intermediate (Midland),2018,August,United States Production,1511.097082
West Texas Intermediate,2018,August,United States Production,1658.118654
Total,2018,August,United States Production,11391
Thunder Horse,2018,August,United States Production,149.87141
Southern Green Canyon,2018,August,United States Production,163.946306
Poseidon,2018,August,United States Production,216
Other Crudes - United States,2018,August,United States Production,3272.743993
Mars Blend,2018,August,United States Production,235.150852
Light Louisiana Sweet,2018,August,United States Production,59.314023
Hoops Blend,2018,August,United States Production,73
Heavy Louisiana Sweet,2018,August,United States Production,41
Eagle Ford,2018,August,United States Production,1320.800194
Bakken,2018,August,United States Production,1279
Alaska North Slope,2018,August,United States Production,519.748004
West Texas Sour,2018,September,United States Production,882.504826
West Texas Light,2018,September,United States Production,0
West Texas Intermediate (Midland),2018,September,United States Production,1580.217571
West Texas Intermediate,2018,September,United States Production,1654.054346
Total,2018,September,United States Production,11443
Thunder Horse,2018,September,United States Production,148.751255
Southern Green Canyon,2018,September,United States Production,164.898105
Poseidon,2018,September,United States Production,216
Other Crudes - United States,2018,September,United States Production,3204.924288
Mars Blend,2018,September,United States Production,239.335381
Light Louisiana Sweet,2018,September,United States Production,58.973981
Hoops Blend,2018,September,United States Production,73
Heavy Louisiana Sweet,2018,September,United States Production,41
Eagle Ford,2018,September,United States Production,1318.705285
Bakken,2018,September,United States Production,1343
Alaska North Slope,2018,September,United States Production,517.634962
West Texas Sour,2018,October,United States Production,873.885189
West Texas Light,2018,October,United States Production,0
West Texas Intermediate (Midland),2018,October,United States Production,1652.499765
West Texas Intermediate,2018,October,United States Production,1650
Total,2018,October,United States Production,11508
Thunder Horse,2018,October,United States Production,147.639472
Southern Green Canyon,2018,October,United States Production,165.85543
Poseidon,2018,October,United States Production,215
Other Crudes - United States,2018,October,United States Production,3178.745671
Mars Blend,2018,October,United States Production,243.594375
Light Louisiana Sweet,2018,October,United States Production,58.635888
Hoops Blend,2018,October,United States Production,74
Heavy Louisiana Sweet,2018,October,United States Production,40
Eagle Ford,2018,October,United States Production,1316.613699
Bakken,2018,October,United States Production,1376
Alaska North Slope,2018,October,United States Production,515.530511
West Texas Sour,2018,November,United States Production,865.349742
West Texas Light,2018,November,United States Production,0
West Texas Intermediate (Midland),2018,November,United States Production,1728.088285
West Texas Intermediate,2018,November,United States Production,1645.945654
Total,2018,November,United States Production,11885
Thunder Horse,2018,November,United States Production,146.535998
Southern Green Canyon,2018,November,United States Production,166.818313
Poseidon,2018,November,United States Production,214
Other Crudes - United States,2018,November,United States Production,3508.07307
Mars Blend,2018,November,United States Production,247.929158
Light Louisiana Sweet,2018,November,United States Production,58.299734
Hoops Blend,2018,November,United States Production,74
Heavy Louisiana Sweet,2018,November,United States Production,40
Eagle Ford,2018,November,United States Production,1314.525431
Bakken,2018,November,United States Production,1362
Alaska North Slope,2018,November,United States Production,513.434615
West Texas Sour,2018,December,United States Production,856.897663
West Texas Light,2018,December,United States Production,0
West Texas Intermediate (Midland),2018,December,United States Production,1807.13437
West Texas Intermediate,2018,December,United States Production,1641.90127
Total,2018,December,United States Production,11944
Thunder Horse,2018,December,United States Production,145.440772
Southern Green Canyon,2018,December,United States Production,167.786786
Poseidon,2018,December,United States Production,215
Other Crudes - United States,2018,December,United States Production,3475.744839
Mars Blend,2018,December,United States Production,252.341078
Light Louisiana Sweet,2018,December,United States Production,57.965507
Hoops Blend,2018,December,United States Production,73
Heavy Louisiana Sweet,2018,December,United States Production,41
Eagle Ford,2018,December,United States Production,1312.440475
Bakken,2018,December,United States Production,1386
Alaska North Slope,2018,December,United States Production,511.34724
Total,2017,January,United States Production,8874
Total,2017,February,United States Production,9094
Total,2017,March,United States Production,9164
Total,2017,April,United States Production,9101
Total,2017,May,United States Production,9185
Total,2017,June,United States Production,9110
Total,2017,July,United States Production,9246
Total,2017,August,United States Production,9250
Total,2017,September,United States Production,9516
Total,2017,October,United States Production,9668
Total,2017,November,United States Production,10085
Total,2017,December,United States Production,9983
Total,2016,January,United States Production,9201
Total,2016,February,United States Production,9060
Total,2016,March,United States Production,9100
Total,2016,April,United States Production,8873
Total,2016,May,United States Production,8834
Total,2016,June,United States Production,8675
Total,2016,July,United States Production,8661
Total,2016,August,United States Production,8689
Total,2016,September,United States Production,8543
Total,2016,October,United States Production,8803
Total,2016,November,United States Production,8902
Total,2016,December,United States Production,8815
Total,2015,January,United States Production,9383
Total,2015,February,United States Production,9490
Total,2015,March,United States Production,9583
Total,2015,April,United States Production,9658
Total,2015,May,United States Production,9474
Total,2015,June,United States Production,9357
Total,2015,July,United States Production,9445
Total,2015,August,United States Production,9409
Total,2015,September,United States Production,9477
Total,2015,October,United States Production,9399
Total,2015,November,United States Production,9332
Total,2015,December,United States Production,9275
Total,2014,January,United States Production,8077
Total,2014,February,United States Production,8141
Total,2014,March,United States Production,8296
Total,2014,April,United States Production,8526
Total,2014,May,United States Production,8645
Total,2014,June,United States Production,8742
Total,2014,July,United States Production,8846
Total,2014,August,United States Production,8931
Total,2014,September,United States Production,9086
Total,2014,October,United States Production,9265
Total,2014,November,United States Production,9324
Total,2014,December,United States Production,9563
Total,2013,January,United States Production,7083
Total,2013,February,United States Production,7145
Total,2013,March,United States Production,7214
Total,2013,April,United States Production,7374
Total,2013,May,United States Production,7326
Total,2013,June,United States Production,7277
Total,2013,July,United States Production,7522
Total,2013,August,United States Production,7534
Total,2013,September,United States Production,7838
Total,2013,October,United States Production,7760
Total,2013,November,United States Production,7919
Total,2013,December,United States Production,7932
Total,2012,January,United States Production,6177
Total,2012,February,United States Production,6268
Total,2012,March,United States Production,6327
Total,2012,April,United States Production,6320
Total,2012,May,United States Production,6370
Total,2012,June,United States Production,6275
Total,2012,July,United States Production,6431
Total,2012,August,United States Production,6351
Total,2012,September,United States Production,6598
Total,2012,October,United States Production,6970
Total,2012,November,United States Production,7082
Total,2012,December,United States Production,7106
Total,2011,January,United States Production,5497
Total,2011,February,United States Production,5406
Total,2011,March,United States Production,5618
Total,2011,April,United States Production,5562
Total,2011,May,United States Production,5625
Total,2011,June,United States Production,5589
Total,2011,July,United States Production,5440
Total,2011,August,United States Production,5665
Total,2011,September,United States Production,5614
Total,2011,October,United States Production,5902
Total,2011,November,United States Production,6039
Total,2011,December,United States Production,6112
Total,2010,January,United States Production,5404
Total,2010,February,United States Production,5553
Total,2010,March,United States Production,5515
Total,2010,April,United States Production,5392
Total,2010,May,United States Production,5401
Total,2010,June,United States Production,5380
Total,2010,July,United States Production,5298
Total,2010,August,United States Production,5447
Total,2010,September,United States Production,5616
Total,2010,October,United States Production,5631
Total,2010,November,United States Production,5576
Total,2010,December,United States Production,5607
Total,2009,January,United States Production,5144
Total,2009,February,United States Production,5239
Total,2009,March,United States Production,5219
Total,2009,April,United States Production,5278
Total,2009,May,United States Production,5377
Total,2009,June,United States Production,5269
Total,2009,July,United States Production,5398
Total,2009,August,United States Production,5418
Total,2009,September,United States Production,5559
Total,2009,October,United States Production,5524
Total,2009,November,United States Production,5395
Total,2009,December,United States Production,5452
Total,2008,January,United States Production,5115
Total,2008,February,United States Production,5148
Total,2008,March,United States Production,5189
Total,2008,April,United States Production,5180
Total,2008,May,United States Production,5143
Total,2008,June,United States Production,5138
Total,2008,July,United States Production,5177
Total,2008,August,United States Production,5003
Total,2008,September,United States Production,3974
Total,2008,October,United States Production,4738
Total,2008,November,United States Production,5078
Total,2008,December,United States Production,5103
Total,2007,January,United States Production,5108
Total,2007,February,United States Production,5118
Total,2007,March,United States Production,5119
Total,2007,April,United States Production,5180
Total,2007,May,United States Production,5211
Total,2007,June,United States Production,5075
Total,2007,July,United States Production,5038
Total,2007,August,United States Production,4970
Total,2007,September,United States Production,4902
Total,2007,October,United States Production,5022
Total,2007,November,United States Production,5034
Total,2007,December,United States Production,5111
Total,2006,January,United States Production,5048
Total,2006,February,United States Production,5032
Total,2006,March,United States Production,5027
Total,2006,April,United States Production,5082
Total,2006,May,United States Production,5151
Total,2006,June,United States Production,5163
Total,2006,July,United States Production,5094
Total,2006,August,United States Production,5040
Total,2006,September,United States Production,5031
Total,2006,October,United States Production,5108
Total,2006,November,United States Production,5064
Total,2006,December,United States Production,5186
Total,2005,January,United States Production,5446
Total,2005,February,United States Production,5501
Total,2005,March,United States Production,5601
Total,2005,April,United States Production,5563
Total,2005,May,United States Production,5596
Total,2005,June,United States Production,5442
Total,2005,July,United States Production,5253
Total,2005,August,United States Production,5198
Total,2005,September,United States Production,4214
Total,2005,October,United States Production,4555
Total,2005,November,United States Production,4857
Total,2005,December,United States Production,4988
Total,2004,January,United States Production,5585
Total,2004,February,United States Production,5572
Total,2004,March,United States Production,5617
Total,2004,April,United States Production,5560
Total,2004,May,United States Production,5556
Total,2004,June,United States Production,5407
Total,2004,July,United States Production,5484
Total,2004,August,United States Production,5325
Total,2004,September,United States Production,5081
Total,2004,October,United States Production,5170
Total,2004,November,United States Production,5423
Total,2004,December,United States Production,5510
Total,2003,January,United States Production,5755
Total,2003,February,United States Production,5783
Total,2003,March,United States Production,5803
Total,2003,April,United States Production,5726
Total,2003,May,United States Production,5663
Total,2003,June,United States Production,5659
Total,2003,July,United States Production,5498
Total,2003,August,United States Production,5574
Total,2003,September,United States Production,5609
Total,2003,October,United States Production,5614
Total,2003,November,United States Production,5547
Total,2003,December,United States Production,5571
Total,2002,January,United States Production,5873
Total,2002,February,United States Production,5881
Total,2002,March,United States Production,5886
Total,2002,April,United States Production,5844
Total,2002,May,United States Production,5905
Total,2002,June,United States Production,5884
Total,2002,July,United States Production,5751
Total,2002,August,United States Production,5796
Total,2002,September,United States Production,5411
Total,2002,October,United States Production,5358
Total,2002,November,United States Production,5624
Total,2002,December,United States Production,5722
Total,2001,January,United States Production,5799
Total,2001,February,United States Production,5780
Total,2001,March,United States Production,5880
Total,2001,April,United States Production,5863
Total,2001,May,United States Production,5829
Total,2001,June,United States Production,5766
Total,2001,July,United States Production,5749
Total,2001,August,United States Production,5725
Total,2001,September,United States Production,5709
Total,2001,October,United States Production,5746
Total,2001,November,United States Production,5881
Total,2001,December,United States Production,5887
Total,2000,January,United States Production,5784
Total,2000,February,United States Production,5852
Total,2000,March,United States Production,5918
Total,2000,April,United States Production,5854
Total,2000,May,United States Production,5847
Total,2000,June,United States Production,5823
Total,2000,July,United States Production,5739
Total,2000,August,United States Production,5789
Total,2000,September,United States Production,5758
Total,2000,October,United States Production,5809
Total,2000,November,United States Production,5833
Total,2000,December,United States Production,5855
