Country,Year of Date,Month of Date,Unit,Value
Italy,2021,April,Million Cubic Meter,5889.220703
Hungary,2021,April,Million Cubic Meter,2048.138473
Greece,2021,April,Million Cubic Meter,566.47033
Germany,2021,April,Million Cubic Meter,8974.28571
France,2021,April,Million Cubic Meter,3752
Finland,2021,April,Million Cubic Meter,455.8
Denmark,2021,April,Million Cubic Meter,706.458217
Czech Republic,2021,April,Million Cubic Meter,1900.155364
Croatia,2021,April,Million Cubic Meter,527.13087
Bulgaria,2021,April,Million Cubic Meter,619.843292
Belgium,2021,April,Million Cubic Meter,1605.31021
Austria,2021,April,Million Cubic Meter,1855.156443
United Kingdom,2021,May,Million Cubic Meter,11647.556038
Sweden,2021,May,Million Cubic Meter,127.2
Spain,2021,May,Million Cubic Meter,3037
Slovenia,2021,May,Million Cubic Meter,138.57347
Slovakia,2021,May,Million Cubic Meter,703.582533
Serbia,2021,May,Million Cubic Meter,314
Romania,2021,May,Million Cubic Meter,654.048899
Portugal,2021,May,Million Cubic Meter,465.714285
Poland,2021,May,Million Cubic Meter,1510.661247
Netherlands,2021,May,Million Cubic Meter,2976
Luxembourg,2021,May,Million Cubic Meter,66.478658
Italy,2021,May,Million Cubic Meter,4120.099824
Hungary,2021,May,Million Cubic Meter,1392.442474
Greece,2021,May,Million Cubic Meter,414.516902
Germany,2021,May,Million Cubic Meter,6825.904756
France,2021,May,Million Cubic Meter,2700
Finland,2021,May,Million Cubic Meter,203.8
Denmark,2021,May,Million Cubic Meter,588.861224
Czech Republic,2021,May,Million Cubic Meter,1227.365061
Croatia,2021,May,Million Cubic Meter,352.314608
Bulgaria,2021,May,Million Cubic Meter,503.082116
Belgium,2021,May,Million Cubic Meter,1179.667465
Austria,2021,May,Million Cubic Meter,1213.404821
United Kingdom,2021,June,Million Cubic Meter,7006.785892
Sweden,2021,June,Million Cubic Meter,207.4
Spain,2021,June,Million Cubic Meter,2823
Slovenia,2021,June,Million Cubic Meter,111.09893
Slovakia,2021,June,Million Cubic Meter,563.130571
Serbia,2021,June,Million Cubic Meter,296
Romania,2021,June,Million Cubic Meter,598.776057
Portugal,2021,June,Million Cubic Meter,562.666667
Poland,2021,June,Million Cubic Meter,1296.80965
Netherlands,2021,June,Million Cubic Meter,2303
Luxembourg,2021,June,Million Cubic Meter,41.849818
Italy,2021,June,Million Cubic Meter,4100.250546
Hungary,2021,June,Million Cubic Meter,978.723844
Greece,2021,June,Million Cubic Meter,557.346254
Germany,2021,June,Million Cubic Meter,4491.42858
France,2021,June,Million Cubic Meter,1746
Finland,2021,June,Million Cubic Meter,239.79
Denmark,2021,June,Million Cubic Meter,422.929835
Czech Republic,2021,June,Million Cubic Meter,925.041697
Croatia,2021,June,Million Cubic Meter,248.263779
Bulgaria,2021,June,Million Cubic Meter,475.541978
Belgium,2021,June,Million Cubic Meter,868.791596
Austria,2021,June,Million Cubic Meter,855.205719
United Kingdom,2021,July,Million Cubic Meter,7064.442584
Sweden,2021,July,Million Cubic Meter,128
Spain,2021,July,Million Cubic Meter,2891
Slovenia,2021,July,Million Cubic Meter,100.86801
Slovakia,2021,July,Million Cubic Meter,535.183105
Serbia,2021,July,Million Cubic Meter,326
Romania,2021,July,Million Cubic Meter,629.940746
Portugal,2021,July,Million Cubic Meter,508.476191
Poland,2021,July,Million Cubic Meter,1327.566442
Netherlands,2021,July,Million Cubic Meter,2147
Luxembourg,2021,July,Million Cubic Meter,41.967762
Italy,2021,July,Million Cubic Meter,4553.288453
Hungary,2021,July,Million Cubic Meter,1021.293381
Greece,2021,July,Million Cubic Meter,636.928191
Germany,2021,July,Million Cubic Meter,4407.904756
France,2021,July,Million Cubic Meter,1670
Finland,2021,July,Million Cubic Meter,305.79
Denmark,2021,July,Million Cubic Meter,371.557256
Czech Republic,2021,July,Million Cubic Meter,872.328255
Croatia,2021,July,Million Cubic Meter,346.982324
Bulgaria,2021,July,Million Cubic Meter,535.763192
Belgium,2021,July,Million Cubic Meter,820.549043
Austria,2021,July,Million Cubic Meter,846.055795
United Kingdom,2021,August,Million Cubic Meter,6892.03706
Sweden,2021,August,Million Cubic Meter,161.43
Spain,2021,August,Million Cubic Meter,2752
Slovenia,2021,August,Million Cubic Meter,99.791931
Slovakia,2021,August,Million Cubic Meter,506.657429
Serbia,2021,August,Million Cubic Meter,338
Romania,2021,August,Million Cubic Meter,623.300382
Portugal,2021,August,Million Cubic Meter,474.47619
Poland,2021,August,Million Cubic Meter,1340.047809
Netherlands,2021,August,Million Cubic Meter,1835
Luxembourg,2021,August,Million Cubic Meter,38.266483
Italy,2021,August,Million Cubic Meter,3771.08308
Hungary,2021,August,Million Cubic Meter,1004.510495
Greece,2021,August,Million Cubic Meter,600.640539
Germany,2021,August,Million Cubic Meter,4328.190457
France,2021,August,Million Cubic Meter,1422
Finland,2021,August,Million Cubic Meter,285.79
Denmark,2021,August,Million Cubic Meter,436.935454
Czech Republic,2021,August,Million Cubic Meter,792.51775
Croatia,2021,August,Million Cubic Meter,345.330449
Bulgaria,2021,August,Million Cubic Meter,399.783908
Belgium,2021,August,Million Cubic Meter,822.476562
Austria,2021,August,Million Cubic Meter,837.309256
United Kingdom,2021,September,Million Cubic Meter,7679.698448
Sweden,2021,September,Million Cubic Meter,146.49
Spain,2021,September,Million Cubic Meter,3074
Slovenia,2021,September,Million Cubic Meter,109.626103
Slovakia,2021,September,Million Cubic Meter,617.652914
Serbia,2021,September,Million Cubic Meter,720
Romania,2021,September,Million Cubic Meter,689.667365
Portugal,2021,September,Million Cubic Meter,570.952381
Poland,2021,September,Million Cubic Meter,1378.687306
Netherlands,2021,September,Million Cubic Meter,2131
Luxembourg,2021,September,Million Cubic Meter,45.255842
Italy,2021,September,Million Cubic Meter,4675.696371
Hungary,2021,September,Million Cubic Meter,1063.475466
Greece,2021,September,Million Cubic Meter,539.804832
Germany,2021,September,Million Cubic Meter,4805.71428
France,2021,September,Million Cubic Meter,1809
Finland,2021,September,Million Cubic Meter,349.79
Denmark,2021,September,Million Cubic Meter,455.045954
Czech Republic,2021,September,Million Cubic Meter,948.012406
Croatia,2021,September,Million Cubic Meter,333.205308
Bulgaria,2021,September,Million Cubic Meter,447.549184
Belgium,2021,September,Million Cubic Meter,842.096222
Austria,2021,September,Million Cubic Meter,1004.135821
United Kingdom,2021,October,Million Cubic Meter,10043.990366
Sweden,2021,October,Million Cubic Meter,180.336
Spain,2021,October,Million Cubic Meter,3262
Slovenia,2021,October,Million Cubic Meter,167.697263
Slovakia,2021,October,Million Cubic Meter,928.755848
Serbia,2021,October,Million Cubic Meter,596
Romania,2021,October,Million Cubic Meter,1072.555951
Portugal,2021,October,Million Cubic Meter,504.952381
Poland,2021,October,Million Cubic Meter,1783.319215
Netherlands,2021,October,Million Cubic Meter,2582
Luxembourg,2021,October,Million Cubic Meter,70.956856
Italy,2021,October,Million Cubic Meter,5366.673343
Hungary,2021,October,Million Cubic Meter,2058.429156
Greece,2021,October,Million Cubic Meter,511.374936
Germany,2021,October,Million Cubic Meter,7289.428567
France,2021,October,Million Cubic Meter,3057
Finland,2021,October,Million Cubic Meter,293.789999
Denmark,2021,October,Million Cubic Meter,579.531888
Czech Republic,2021,October,Million Cubic Meter,1486.466491
Croatia,2021,October,Million Cubic Meter,473.642038
Bulgaria,2021,October,Million Cubic Meter,506.32873
Belgium,2021,October,Million Cubic Meter,1185.399414
Austria,2021,October,Million Cubic Meter,1753.835619
United Kingdom,2021,November,Million Cubic Meter,14673.386223
Sweden,2021,November,Million Cubic Meter,205.646
Spain,2021,November,Million Cubic Meter,4590
Slovenia,2021,November,Million Cubic Meter,199.850954
Slovakia,2021,November,Million Cubic Meter,1212.711867
Serbia,2021,November,Million Cubic Meter,724
Romania,2021,November,Million Cubic Meter,1360.179275
Portugal,2021,November,Million Cubic Meter,535.52381
Poland,2021,November,Million Cubic Meter,2105.817307
Netherlands,2021,November,Million Cubic Meter,3667
Luxembourg,2021,November,Million Cubic Meter,92.963745
Italy,2021,November,Million Cubic Meter,7469.845354
Hungary,2021,November,Million Cubic Meter,2724.627786
Greece,2021,November,Million Cubic Meter,531.853219
Germany,2021,November,Million Cubic Meter,10128.57144
France,2021,November,Million Cubic Meter,5185
Finland,2021,November,Million Cubic Meter,221.79
Denmark,2021,November,Million Cubic Meter,729.534961
Czech Republic,2021,November,Million Cubic Meter,2100.816632
Croatia,2021,November,Million Cubic Meter,619.201066
Bulgaria,2021,November,Million Cubic Meter,600.3663
Belgium,2021,November,Million Cubic Meter,1759.257873
Austria,2021,November,Million Cubic Meter,2515.764139
United Kingdom,2021,December,Million Cubic Meter,16641.862258
Sweden,2021,December,Million Cubic Meter,229.886
Spain,2021,December,Million Cubic Meter,4722
Slovenia,2021,December,Million Cubic Meter,235.732185
Slovakia,2021,December,Million Cubic Meter,1471.9836
Serbia,2021,December,Million Cubic Meter,848
Romania,2021,December,Million Cubic Meter,1710.541703
Portugal,2021,December,Million Cubic Meter,478.666667
Poland,2021,December,Million Cubic Meter,2564.852562
Netherlands,2021,December,Million Cubic Meter,4206
Luxembourg,2021,December,Million Cubic Meter,95.728931
Italy,2021,December,Million Cubic Meter,9328.912245
Hungary,2021,December,Million Cubic Meter,3337.456196
Greece,2021,December,Million Cubic Meter,623.271478
Germany,2021,December,Million Cubic Meter,11620.571433
France,2021,December,Million Cubic Meter,5675
Finland,2021,December,Million Cubic Meter,509.79
Denmark,2021,December,Million Cubic Meter,948.786498
Czech Republic,2021,December,Million Cubic Meter,2382.361088
Croatia,2021,December,Million Cubic Meter,565.62847
Bulgaria,2021,December,Million Cubic Meter,777.4046
Belgium,2021,December,Million Cubic Meter,1868.4646
Austria,2021,December,Million Cubic Meter,2699.857656
United Kingdom,2020,January,Million Cubic Meter,12155.399952
Sweden,2020,January,Million Cubic Meter,232
Spain,2020,January,Million Cubic Meter,5085
Slovenia,2020,January,Million Cubic Meter,249.318587
Slovakia,2020,January,Million Cubic Meter,1532.903
Serbia,2020,January,Million Cubic Meter,759.716572
Romania,2020,January,Million Cubic Meter,2219.345333
Portugal,2020,January,Million Cubic Meter,542.571428
Poland,2020,January,Million Cubic Meter,2482.807957
Netherlands,2020,January,Million Cubic Meter,4986
Luxembourg,2020,January,Million Cubic Meter,145.500348
Italy,2020,January,Million Cubic Meter,9475.269006
Hungary,2020,January,Million Cubic Meter,3237.937968
Greece,2020,January,Million Cubic Meter,635.577292
Germany,2020,January,Million Cubic Meter,11703.238095
France,2020,January,Million Cubic Meter,5824
Finland,2020,January,Million Cubic Meter,510
Denmark,2020,January,Million Cubic Meter,827.623692
Czech Republic,2020,January,Million Cubic Meter,2672.812187
Croatia,2020,January,Million Cubic Meter,766.303924
Bulgaria,2020,January,Million Cubic Meter,784.835964
Belgium,2020,January,Million Cubic Meter,2072.445954
Austria,2020,January,Million Cubic Meter,2955.474725
United Kingdom,2020,February,Million Cubic Meter,15913.923238
Sweden,2020,February,Million Cubic Meter,229.8
Spain,2020,February,Million Cubic Meter,4040
Slovenia,2020,February,Million Cubic Meter,192.339895
Slovakia,2020,February,Million Cubic Meter,1193.01101
Serbia,2020,February,Million Cubic Meter,588
Romania,2020,February,Million Cubic Meter,1543.5893
Portugal,2020,February,Million Cubic Meter,469.333333
Poland,2020,February,Million Cubic Meter,2080.813981
Netherlands,2020,February,Million Cubic Meter,4357
Luxembourg,2020,February,Million Cubic Meter,109.807879
Italy,2020,February,Million Cubic Meter,7422.05861
Hungary,2020,February,Million Cubic Meter,2469.889212
Greece,2020,February,Million Cubic Meter,500.92569
Germany,2020,February,Million Cubic Meter,10064.380952
France,2020,February,Million Cubic Meter,4682
Finland,2020,February,Million Cubic Meter,461
Denmark,2020,February,Million Cubic Meter,868.907236
Czech Republic,2020,February,Million Cubic Meter,2068.138337
Croatia,2020,February,Million Cubic Meter,594.306652
Bulgaria,2020,February,Million Cubic Meter,681.610512
Belgium,2020,February,Million Cubic Meter,1812.234985
Austria,2020,February,Million Cubic Meter,2103.494981
United Kingdom,2020,March,Million Cubic Meter,9984.933733
Sweden,2020,March,Million Cubic Meter,188
Spain,2020,March,Million Cubic Meter,3800
Slovenia,2020,March,Million Cubic Meter,192.24027
Slovakia,2020,March,Million Cubic Meter,1099.7256
Serbia,2020,March,Million Cubic Meter,540
Romania,2020,March,Million Cubic Meter,1266.710406
Portugal,2020,March,Million Cubic Meter,511.714286
Poland,2020,March,Million Cubic Meter,2089.524674
Netherlands,2020,March,Million Cubic Meter,4109
Luxembourg,2020,March,Million Cubic Meter,100.73452
Italy,2020,March,Million Cubic Meter,6507.60776
Hungary,2020,March,Million Cubic Meter,2200.091534
Greece,2020,March,Million Cubic Meter,471.044215
Germany,2020,March,Million Cubic Meter,9801.904762
France,2020,March,Million Cubic Meter,4404
Finland,2020,March,Million Cubic Meter,477
Denmark,2020,March,Million Cubic Meter,851.386543
Czech Republic,2020,March,Million Cubic Meter,1926.798547
Croatia,2020,March,Million Cubic Meter,575.274536
Bulgaria,2020,March,Million Cubic Meter,642.649347
Belgium,2020,March,Million Cubic Meter,1743.272369
Austria,2020,March,Million Cubic Meter,2029.479359
United Kingdom,2020,April,Million Cubic Meter,5410.679584
Sweden,2020,April,Million Cubic Meter,148.94
Spain,2020,April,Million Cubic Meter,2823
Slovenia,2020,April,Million Cubic Meter,136.907606
Slovakia,2020,April,Million Cubic Meter,742.740019
Serbia,2020,April,Million Cubic Meter,352
Romania,2020,April,Million Cubic Meter,846.155094
Portugal,2020,April,Million Cubic Meter,440.095239
Poland,2020,April,Million Cubic Meter,1597.36117
Netherlands,2020,April,Million Cubic Meter,2803
Luxembourg,2020,April,Million Cubic Meter,63.896883
Italy,2020,April,Million Cubic Meter,4047.456256
Hungary,2020,April,Million Cubic Meter,1368.600508
Greece,2020,April,Million Cubic Meter,387.526611
Germany,2020,April,Million Cubic Meter,6302.857142
France,2020,April,Million Cubic Meter,2204
Finland,2020,April,Million Cubic Meter,366
Denmark,2020,April,Million Cubic Meter,647.628991
Czech Republic,2020,April,Million Cubic Meter,1234.081223
Croatia,2020,April,Million Cubic Meter,371.681092
Bulgaria,2020,April,Million Cubic Meter,486.835117
Belgium,2020,April,Million Cubic Meter,1071.043427
Austria,2020,April,Million Cubic Meter,1294.327263
United Kingdom,2020,May,Million Cubic Meter,4699.937509
Sweden,2020,May,Million Cubic Meter,155
Spain,2020,May,Million Cubic Meter,2502
Slovenia,2020,May,Million Cubic Meter,109.626766
Slovakia,2020,May,Million Cubic Meter,645.609371
Serbia,2020,May,Million Cubic Meter,252
Romania,2020,May,Million Cubic Meter,637.554132
Portugal,2020,May,Million Cubic Meter,479.809524
Poland,2020,May,Million Cubic Meter,1486.837161
Netherlands,2020,May,Million Cubic Meter,2745
Luxembourg,2020,May,Million Cubic Meter,60.55101
Italy,2020,May,Million Cubic Meter,3586.998675
Hungary,2020,May,Million Cubic Meter,1039.863963
Greece,2020,May,Million Cubic Meter,388.564764
Germany,2020,May,Million Cubic Meter,5789.619048
France,2020,May,Million Cubic Meter,2075
Finland,2020,May,Million Cubic Meter,328
Denmark,2020,May,Million Cubic Meter,553.810752
Czech Republic,2020,May,Million Cubic Meter,1072.396669
Croatia,2020,May,Million Cubic Meter,362.206424
Bulgaria,2020,May,Million Cubic Meter,381.985522
Belgium,2020,May,Million Cubic Meter,1059.300537
Austria,2020,May,Million Cubic Meter,1004.232437
United Kingdom,2020,June,Million Cubic Meter,4636.597763
Sweden,2020,June,Million Cubic Meter,167.44
Spain,2020,June,Million Cubic Meter,2673
Slovenia,2020,June,Million Cubic Meter,92.68364
Slovakia,2020,June,Million Cubic Meter,534.708095
Serbia,2020,June,Million Cubic Meter,240
Romania,2020,June,Million Cubic Meter,625.418908
Portugal,2020,June,Million Cubic Meter,520.571428
Poland,2020,June,Million Cubic Meter,1236.401025
Netherlands,2020,June,Million Cubic Meter,2514
Luxembourg,2020,June,Million Cubic Meter,49.234498
Italy,2020,June,Million Cubic Meter,3943.720367
Hungary,2020,June,Million Cubic Meter,910.108815
Greece,2020,June,Million Cubic Meter,437.296577
Germany,2020,June,Million Cubic Meter,4791.428571
France,2020,June,Million Cubic Meter,2000
Finland,2020,June,Million Cubic Meter,332
Denmark,2020,June,Million Cubic Meter,484.445329
Czech Republic,2020,June,Million Cubic Meter,925.251682
Croatia,2020,June,Million Cubic Meter,342.743114
Bulgaria,2020,June,Million Cubic Meter,380.875836
Belgium,2020,June,Million Cubic Meter,1016.187928
Austria,2020,June,Million Cubic Meter,839.468498
United Kingdom,2020,July,Million Cubic Meter,5314.369879
Sweden,2020,July,Million Cubic Meter,107
Spain,2020,July,Million Cubic Meter,3023
Slovenia,2020,July,Million Cubic Meter,108.227537
Slovakia,2020,July,Million Cubic Meter,498.691352
Serbia,2020,July,Million Cubic Meter,258
Romania,2020,July,Million Cubic Meter,717.651429
Portugal,2020,July,Million Cubic Meter,536
Poland,2020,July,Million Cubic Meter,1358.926769
Netherlands,2020,July,Million Cubic Meter,2805.9996
Luxembourg,2020,July,Million Cubic Meter,45.513005
Italy,2020,July,Million Cubic Meter,4608.345567
Hungary,2020,July,Million Cubic Meter,970.798604
Greece,2020,July,Million Cubic Meter,568.382422
Germany,2020,July,Million Cubic Meter,4818.285714
France,2020,July,Million Cubic Meter,1919
Finland,2020,July,Million Cubic Meter,310
Denmark,2020,July,Million Cubic Meter,387.416731
Czech Republic,2020,July,Million Cubic Meter,961.05137
Croatia,2020,July,Million Cubic Meter,369.964491
Bulgaria,2020,July,Million Cubic Meter,355.006822
Belgium,2020,July,Million Cubic Meter,1115.552002
Austria,2020,July,Million Cubic Meter,959.287332
United Kingdom,2020,August,Million Cubic Meter,7617.723716
Sweden,2020,August,Million Cubic Meter,171
Spain,2020,August,Million Cubic Meter,2790
Slovenia,2020,August,Million Cubic Meter,103.769956
Slovakia,2020,August,Million Cubic Meter,494.994629
Serbia,2020,August,Million Cubic Meter,212
Romania,2020,August,Million Cubic Meter,722.413386
Portugal,2020,August,Million Cubic Meter,512.47619
Poland,2020,August,Million Cubic Meter,1254.886043
Netherlands,2020,August,Million Cubic Meter,2765.9998
Luxembourg,2020,August,Million Cubic Meter,40.093966
Italy,2020,August,Million Cubic Meter,4090.860545
Hungary,2020,August,Million Cubic Meter,920.529831
Greece,2020,August,Million Cubic Meter,528.625577
Germany,2020,August,Million Cubic Meter,4534.857143
France,2020,August,Million Cubic Meter,1710
Finland,2020,August,Million Cubic Meter,338
Denmark,2020,August,Million Cubic Meter,417.174757
Czech Republic,2020,August,Million Cubic Meter,890.633859
Croatia,2020,August,Million Cubic Meter,351.262063
Bulgaria,2020,August,Million Cubic Meter,329.949823
Belgium,2020,August,Million Cubic Meter,995.599075
Austria,2020,August,Million Cubic Meter,928.44932
United Kingdom,2020,September,Million Cubic Meter,4899.942792
Sweden,2020,September,Million Cubic Meter,160.8
Spain,2020,September,Million Cubic Meter,2998
Slovenia,2020,September,Million Cubic Meter,121.243093
Slovakia,2020,September,Million Cubic Meter,576.493848
Serbia,2020,September,Million Cubic Meter,278
Romania,2020,September,Million Cubic Meter,736.434729
Portugal,2020,September,Million Cubic Meter,488.095238
Poland,2020,September,Million Cubic Meter,1409.927346
Netherlands,2020,September,Million Cubic Meter,2696
Luxembourg,2020,September,Million Cubic Meter,52.270751
Italy,2020,September,Million Cubic Meter,4669.122515
Hungary,2020,September,Million Cubic Meter,1059.931868
Greece,2020,September,Million Cubic Meter,486.436136
Germany,2020,September,Million Cubic Meter,5242.857143
France,2020,September,Million Cubic Meter,2105
Finland,2020,September,Million Cubic Meter,406
Denmark,2020,September,Million Cubic Meter,504.038667
Czech Republic,2020,September,Million Cubic Meter,868.972848
Croatia,2020,September,Million Cubic Meter,389.451146
Bulgaria,2020,September,Million Cubic Meter,353.967792
Belgium,2020,September,Million Cubic Meter,1044.516021
Austria,2020,September,Million Cubic Meter,1070.15278
United Kingdom,2020,October,Million Cubic Meter,12696.476779
Sweden,2020,October,Million Cubic Meter,324
Spain,2020,October,Million Cubic Meter,3337
Slovenia,2020,October,Million Cubic Meter,160.054651
Slovakia,2020,October,Million Cubic Meter,912.399124
Serbia,2020,October,Million Cubic Meter,432
Romania,2020,October,Million Cubic Meter,835.444273
Portugal,2020,October,Million Cubic Meter,476.476191
Poland,2020,October,Million Cubic Meter,1773.93752
Netherlands,2020,October,Million Cubic Meter,3416
Luxembourg,2020,October,Million Cubic Meter,84.123308
Italy,2020,October,Million Cubic Meter,5221.28027
Hungary,2020,October,Million Cubic Meter,1768.05819
Greece,2020,October,Million Cubic Meter,452.33844
Germany,2020,October,Million Cubic Meter,7809.047619
France,2020,October,Million Cubic Meter,3488
Finland,2020,October,Million Cubic Meter,405
Denmark,2020,October,Million Cubic Meter,663.548698
Czech Republic,2020,October,Million Cubic Meter,1543.662996
Croatia,2020,October,Million Cubic Meter,517.508071
Bulgaria,2020,October,Million Cubic Meter,519.163638
Belgium,2020,October,Million Cubic Meter,1394.141144
Austria,2020,October,Million Cubic Meter,1733.574404
United Kingdom,2020,November,Million Cubic Meter,7316.919746
Sweden,2020,November,Million Cubic Meter,284
Spain,2020,November,Million Cubic Meter,3949
Slovenia,2020,November,Million Cubic Meter,212.63316
Slovakia,2020,November,Million Cubic Meter,1194.772305
Serbia,2020,November,Million Cubic Meter,614
Romania,2020,November,Million Cubic Meter,1484.334262
Portugal,2020,November,Million Cubic Meter,505.047619
Poland,2020,November,Million Cubic Meter,2136.548825
Netherlands,2020,November,Million Cubic Meter,3811
Luxembourg,2020,November,Million Cubic Meter,98.759158
Italy,2020,November,Million Cubic Meter,6799.670052
Hungary,2020,November,Million Cubic Meter,2457.652121
Greece,2020,November,Million Cubic Meter,528.131608
Germany,2020,November,Million Cubic Meter,9717.142857
France,2020,November,Million Cubic Meter,4495
Finland,2020,November,Million Cubic Meter,418.999999
Denmark,2020,November,Million Cubic Meter,796.984619
Czech Republic,2020,November,Million Cubic Meter,2158.779958
Croatia,2020,November,Million Cubic Meter,656.494648
Bulgaria,2020,November,Million Cubic Meter,689.371011
Belgium,2020,November,Million Cubic Meter,1656.214477
Austria,2020,November,Million Cubic Meter,2230.607645
United Kingdom,2020,December,Million Cubic Meter,17843.74832
Sweden,2020,December,Million Cubic Meter,354
Spain,2020,December,Million Cubic Meter,4626
Slovenia,2020,December,Million Cubic Meter,219.808699
Slovakia,2020,December,Million Cubic Meter,1357.139219
Serbia,2020,December,Million Cubic Meter,746
Romania,2020,December,Million Cubic Meter,1715.772107
Portugal,2020,December,Million Cubic Meter,399.904762
Poland,2020,December,Million Cubic Meter,2483.833037
Netherlands,2020,December,Million Cubic Meter,4822
Luxembourg,2020,December,Million Cubic Meter,109.515556
Italy,2020,December,Million Cubic Meter,8607.343305
Hungary,2020,December,Million Cubic Meter,2658.925423
Greece,2020,December,Million Cubic Meter,625.160686
Germany,2020,December,Million Cubic Meter,11602.857143
France,2020,December,Million Cubic Meter,5513
Finland,2020,December,Million Cubic Meter,509
Denmark,2020,December,Million Cubic Meter,947.148722
Czech Republic,2020,December,Million Cubic Meter,2468.741101
Croatia,2020,December,Million Cubic Meter,694.239172
Bulgaria,2020,December,Million Cubic Meter,749.31876
Belgium,2020,December,Million Cubic Meter,2023.743622
Austria,2020,December,Million Cubic Meter,2663.150782
Sweden,2019,January,Million Cubic Meter,260
Spain,2019,January,Million Cubic Meter,5253
Slovenia,2019,January,Million Cubic Meter,248.19
Slovakia,2019,January,Million Cubic Meter,1578.190476
Serbia,2019,January,Million Cubic Meter,874
Romania,2019,January,Million Cubic Meter,1859.643949
Poland,2019,January,Million Cubic Meter,2460.115229
Netherlands,2019,January,Million Cubic Meter,5321
Luxembourg,2019,January,Million Cubic Meter,115.760322
Italy,2019,January,Million Cubic Meter,10328.719043
Hungary,2019,January,Million Cubic Meter,3256.032952
Greece,2019,January,Million Cubic Meter,710.683939
Germany,2019,January,Million Cubic Meter,13034.761905
France,2019,January,Million Cubic Meter,6602
Finland,2019,January,Million Cubic Meter,768
Denmark,2019,January,Million Cubic Meter,1152.114286
Czech Republic,2019,January,Million Cubic Meter,2703.828571
Croatia,2019,January,Million Cubic Meter,775.730472
Bulgaria,2019,January,Million Cubic Meter,844.176443
Belgium,2019,January,Million Cubic Meter,2331.683045
Austria,2019,January,Million Cubic Meter,2936.529333
United Kingdom,2019,February,Million Cubic Meter,6613.249733
Sweden,2019,February,Million Cubic Meter,208
Spain,2019,February,Million Cubic Meter,4205
Slovenia,2019,February,Million Cubic Meter,197.371
Slovakia,2019,February,Million Cubic Meter,1201.005714
Serbia,2019,February,Million Cubic Meter,696
Romania,2019,February,Million Cubic Meter,1456.929979
Poland,2019,February,Million Cubic Meter,1997.016567
Netherlands,2019,February,Million Cubic Meter,4169
Luxembourg,2019,February,Million Cubic Meter,92.296505
Italy,2019,February,Million Cubic Meter,7875.113981
Hungary,2019,February,Million Cubic Meter,2343.264487
Greece,2019,February,Million Cubic Meter,515.561469
Germany,2019,February,Million Cubic Meter,10034.666667
France,2019,February,Million Cubic Meter,4992
Finland,2019,February,Million Cubic Meter,556
Denmark,2019,February,Million Cubic Meter,903.873598
Czech Republic,2019,February,Million Cubic Meter,2104.914286
Croatia,2019,February,Million Cubic Meter,569.4493
Bulgaria,2019,February,Million Cubic Meter,696.227834
Belgium,2019,February,Million Cubic Meter,1754.221771
Austria,2019,February,Million Cubic Meter,2252.517714
United Kingdom,2019,March,Million Cubic Meter,201.145171
Sweden,2019,March,Million Cubic Meter,252
Spain,2019,March,Million Cubic Meter,3989
Slovenia,2019,March,Million Cubic Meter,183.767
Slovakia,2019,March,Million Cubic Meter,1052.114286
Serbia,2019,March,Million Cubic Meter,516
Romania,2019,March,Million Cubic Meter,1135.358063
Poland,2019,March,Million Cubic Meter,2034.801454
Netherlands,2019,March,Million Cubic Meter,4166
Luxembourg,2019,March,Million Cubic Meter,88.912278
Italy,2019,March,Million Cubic Meter,6808.020292
Hungary,2019,March,Million Cubic Meter,1906.887142
Greece,2019,March,Million Cubic Meter,398.517283
Germany,2019,March,Million Cubic Meter,9329.523809
France,2019,March,Million Cubic Meter,4367
Finland,2019,March,Million Cubic Meter,538
Denmark,2019,March,Million Cubic Meter,898.02862
Czech Republic,2019,March,Million Cubic Meter,1768.285714
Croatia,2019,March,Million Cubic Meter,458.411748
Bulgaria,2019,March,Million Cubic Meter,606.636204
Belgium,2019,March,Million Cubic Meter,1619.598785
Austria,2019,March,Million Cubic Meter,1794.392952
United Kingdom,2019,April,Million Cubic Meter,2992.398814
Sweden,2019,April,Million Cubic Meter,202
Spain,2019,April,Million Cubic Meter,3693
Slovenia,2019,April,Million Cubic Meter,148.787
Slovakia,2019,April,Million Cubic Meter,727.904762
Serbia,2019,April,Million Cubic Meter,321.999762
Romania,2019,April,Million Cubic Meter,776.399595
Poland,2019,April,Million Cubic Meter,1706.68771
Netherlands,2019,April,Million Cubic Meter,3055
Luxembourg,2019,April,Million Cubic Meter,69.160939
Italy,2019,April,Million Cubic Meter,5332.838162
Hungary,2019,April,Million Cubic Meter,1391.449366
Greece,2019,April,Million Cubic Meter,370.531922
Germany,2019,April,Million Cubic Meter,7011.428572
France,2019,April,Million Cubic Meter,3293
Finland,2019,April,Million Cubic Meter,426
Denmark,2019,April,Million Cubic Meter,672.962285
Czech Republic,2019,April,Million Cubic Meter,1294.838095
Croatia,2019,April,Million Cubic Meter,380.856283
Bulgaria,2019,April,Million Cubic Meter,538.541722
Belgium,2019,April,Million Cubic Meter,1269.46814
Austria,2019,April,Million Cubic Meter,1446.374286
United Kingdom,2019,May,Million Cubic Meter,3569.479858
Sweden,2019,May,Million Cubic Meter,248
Spain,2019,May,Million Cubic Meter,3283
Slovenia,2019,May,Million Cubic Meter,140.226
Slovakia,2019,May,Million Cubic Meter,699.489524
